last_measure,pm10,pm10_level,co,co_level,no2,no2_level,pm25,pm25_level,
2018-01-25 00:00:00,46,unhealthy-low,223,good,9,good,40,unhealthy-high,
2018-09-19 00:00:00,19,moderate,855,good,2,good,15,unhealthy-low,
2018-02-14 00:00:00,7,good,26,good,4,good,6,good,
2018-01-10 00:00:00,7,good,110,good,6,good,6,good,
2018-03-15 00:00:00,85,unhealthy-high,577,good,4,good,69,unhealthy-high,
2018-05-07 00:00:00,18,moderate,280,good,13,good,16,unhealthy-low,
2018-12-16 00:00:00,10,good,355,good,0,good,8,good,
2018-03-15 00:00:00,16,moderate,124,good,6,good,14,moderate,
2019-06-07 00:00:00,19,moderate,89,good,17,good,17,unhealthy-low,
2018-03-15 00:00:00,19,moderate,379,good,6,good,17,unhealthy-low,
2018-11-06 00:00:00,23,moderate,70,good,8,good,19,unhealthy-low,
2018-03-15 00:00:00,15,moderate,117,good,5,good,13,moderate,
2018-08-02 00:00:00,15,moderate,320,good,3,good,14,moderate,
2018-11-14 00:00:00,8,good,442,good,13,good,8,good,
2018-12-16 00:00:00,9,good,296,good,4,good,8,good,
2018-03-15 00:00:00,28,moderate,263,good,6,good,24,unhealthy-low,
2018-12-16 00:00:00,10,good,388,good,0,good,10,moderate,
2018-03-15 00:00:00,8,good,349,good,2,good,7,good,
2018-08-02 00:00:00,11,good,174,good,2,good,10,moderate,
2018-01-12 00:00:00,11,good,82,good,5,good,10,moderate,
2018-12-16 00:00:00,27,moderate,382,good,11,good,24,unhealthy-low,
2018-12-16 00:00:00,9,good,107,good,0,good,7,good,
2018-03-15 00:00:00,18,moderate,676,good,7,good,17,unhealthy-low,
2018-11-14 00:00:00,16,moderate,53,good,7,good,14,moderate,
2018-09-17 00:00:00,27,moderate,441,good,5,good,23,unhealthy-low,
2018-12-14 00:00:00,98,unhealthy-high,1842,good,169,unhealthy-low,1226,unhealthy-high,
2018-02-14 00:00:00,18,moderate,359,good,9,good,16,unhealthy-low,
2018-02-14 00:00:00,4,good,68,good,7,good,4,good,
2019-06-13 00:00:00,32,unhealthy-low,120,good,8,good,26,unhealthy,
2019-06-13 00:00:00,15,moderate,141,good,1,good,13,moderate,
2018-03-15 00:00:00,14,good,340,good,7,good,13,moderate,
2018-09-19 00:00:00,15,moderate,54,good,11,good,14,moderate,
2018-03-15 00:00:00,7,good,425,good,11,good,7,good,
2018-03-15 00:00:00,18,moderate,690,good,4,good,16,unhealthy-low,
2018-12-16 00:00:00,12,good,319,good,0,good,9,good,
2018-11-14 00:00:00,12,good,22,good,7,good,10,moderate,
2018-10-30 00:00:00,541,unhealthy-high,0,good,66,good,250,unhealthy-high,
2018-12-14 00:00:00,21,moderate,2510,good,35,good,19,unhealthy-low,
2018-12-17 00:00:00,25,moderate,291,good,5,good,19,unhealthy-low,
2018-12-13 00:00:00,155,unhealthy-high,18750,unhealthy-high,12,good,83,unhealthy-high,
2018-08-02 00:00:00,13,good,142,good,2,good,12,moderate,
2018-12-16 00:00:00,33,unhealthy-low,276,good,13,good,29,unhealthy,
2019-06-13 00:00:00,27,moderate,168,good,9,good,22,unhealthy-low,
2019-06-09 00:00:00,12,good,74,good,13,good,10,moderate,
2018-11-14 00:00:00,20,moderate,154,good,11,good,18,unhealthy-low,
2018-03-15 00:00:00,14,good,45,good,7,good,12,moderate,
2018-11-14 00:00:00,1,good,6474,unhealthy-low,0,good,1,good,
2019-06-09 00:00:00,8,good,78,good,23,good,7,good,
2018-02-09 00:00:00,14,good,102,good,6,good,13,moderate,
2018-03-15 00:00:00,9,good,340,good,2,good,8,good,
2018-12-14 00:00:00,36,unhealthy-low,500,good,8,good,33,unhealthy,
2018-08-02 00:00:00,13,good,274,good,2,good,12,moderate,
2018-05-02 00:00:00,7,good,2402,good,0,good,6,good,
2018-03-15 00:00:00,12,good,284,good,6,good,11,moderate,
2018-01-30 00:00:00,21,moderate,40,good,3,good,18,unhealthy-low,
2018-09-19 00:00:00,15,moderate,382,good,7,good,14,moderate,
2018-09-19 00:00:00,65,unhealthy,37,good,2,good,56,unhealthy-high,
2018-03-15 00:00:00,14,good,348,good,7,good,13,moderate,
2019-06-10 00:00:00,20,moderate,123,good,11,good,17,unhealthy-low,
2018-03-28 00:00:00,25,moderate,107,good,8,good,21,unhealthy-low,
2018-05-02 00:00:00,25,moderate,345,good,2,good,20,unhealthy-low,
2018-02-14 00:00:00,16,moderate,171,good,8,good,14,moderate,
2018-01-12 00:00:00,23,moderate,92,good,6,good,20,unhealthy-low,
2018-03-15 00:00:00,8,good,84,good,4,good,7,good,
2018-03-15 00:00:00,9,good,545,good,13,good,8,good,
2018-08-01 00:00:00,16,moderate,177,good,3,good,15,unhealthy-low,
2018-11-14 00:00:00,12,good,102,good,3,good,11,moderate,
2018-09-17 00:00:00,17,moderate,261,good,9,good,15,unhealthy-low,
2018-04-27 00:00:00,11,good,0,good,3,good,8,good,
2018-01-12 00:00:00,96,unhealthy-high,129,good,5,good,85,unhealthy-high,
2019-06-10 00:00:00,9,good,154,good,2,good,8,good,
2019-06-13 00:00:00,14,good,719,good,0,good,13,moderate,
2018-11-06 00:00:00,20,moderate,98,good,11,good,16,unhealthy-low,
2018-05-07 00:00:00,24,moderate,1201,good,4,good,20,unhealthy-low,
2018-09-19 00:00:00,11,good,102,good,1,good,10,moderate,
2018-11-06 00:00:00,18,moderate,135,good,9,good,15,unhealthy-low,
2018-09-19 00:00:00,44,unhealthy-low,282,good,7,good,37,unhealthy,
2018-11-14 00:00:00,30,unhealthy-low,1,good,0,good,27,unhealthy,
2018-11-06 00:00:00,16,moderate,60,good,4,good,14,moderate,
2018-01-25 00:00:00,23,moderate,34,good,4,good,21,unhealthy-low,
2018-11-14 00:00:00,5,good,386,good,0,good,4,good,
2018-04-27 00:00:00,19,moderate,258,good,8,good,16,unhealthy-low,
2018-04-27 00:00:00,11,good,11,good,4,good,8,good,
2018-12-17 00:00:00,91,unhealthy-high,1831,good,55,good,593,unhealthy-high,
2018-01-19 00:00:00,12,good,700,good,1,good,10,moderate,
2019-06-13 00:00:00,23,moderate,158,good,9,good,19,unhealthy-low,
2018-12-16 00:00:00,6,good,402,good,0,good,5,good,
2018-09-19 00:00:00,15,moderate,408,good,6,good,13,moderate,
2018-02-14 00:00:00,21,moderate,216,good,13,good,18,unhealthy-low,
2019-02-04 00:00:00,4,good,8,good,10,good,3,good,
2018-12-16 00:00:00,16,moderate,82,good,9,good,14,moderate,
2018-05-07 00:00:00,0,good,6341,unhealthy-low,0,good,0,good,
2018-11-14 00:00:00,8,good,54,good,2,good,7,good,
2018-03-02 00:00:00,19,moderate,99,good,3,good,18,unhealthy-low,
2018-06-21 00:00:00,8,good,41,good,10,good,7,good,
2018-11-06 00:00:00,27,moderate,132,good,8,good,22,unhealthy-low,
2018-01-12 00:00:00,5,good,66,good,4,good,5,good,
2018-11-10 00:00:00,22,moderate,335,good,18,good,19,unhealthy-low,
2018-05-07 00:00:00,0,good,6316,unhealthy-low,0,good,0,good,
2018-09-19 00:00:00,21,moderate,38,good,13,good,17,unhealthy-low,
2018-11-14 00:00:00,4,good,147,good,8,good,3,good,
2018-11-06 00:00:00,20,moderate,147,good,10,good,16,unhealthy-low,
2018-12-13 00:00:00,155,unhealthy-high,18744,unhealthy-high,0,good,83,unhealthy-high,
2018-02-22 00:00:00,11,good,0,good,0,good,9,good,
2019-06-10 00:00:00,280,unhealthy-high,795,good,96,moderate,229,unhealthy-high,
2018-09-19 00:00:00,20,moderate,216,good,11,good,17,unhealthy-low,
2018-01-12 00:00:00,8,good,62,good,4,good,7,good,
2018-08-02 00:00:00,14,good,174,good,2,good,13,moderate,
2018-05-07 00:00:00,2,good,5553,moderate,0,good,2,good,
2018-12-16 00:00:00,21,moderate,245,good,9,good,18,unhealthy-low,
2019-06-10 00:00:00,8,good,150,good,17,good,7,good,
2019-06-13 00:00:00,8,good,635,good,0,good,7,good,
2018-07-27 00:00:00,12,good,75,good,7,good,11,moderate,
2019-01-25 00:00:00,25,moderate,21,good,2,good,23,unhealthy-low,
2018-11-06 00:00:00,13,good,405,good,7,good,10,moderate,
2019-06-10 00:00:00,12,good,828,good,1,good,7,good,
2019-06-07 00:00:00,28,moderate,34,good,8,good,24,unhealthy-low,
2018-09-19 00:00:00,19,moderate,164,good,10,good,15,unhealthy-low,
2018-09-17 00:00:00,2,good,0,good,6,good,2,good,
2018-11-14 00:00:00,20,moderate,714,good,0,good,19,unhealthy-low,
2018-08-02 00:00:00,15,moderate,208,good,3,good,14,moderate,
2019-06-13 00:00:00,16,moderate,151,good,0,good,15,unhealthy-low,
